Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018_ratio,2019
Aruba,ABW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.20861701,19.31412703,19.3930991,19.40737613,19.41328728,19.50052343,19.25783736,19.02928302,18.86324341,18.75886571,18.68798444,18.90740091,19.19641177,19.49987223,19.78449272,20.04694202,19.71337522,19.39261422,19.14187574,19.01694345,19.04950222,19.58953713,20.26646934,21.62249126,23.07292149,24.6200697,26.28406357,28.06315569,28.66665795,28.92523258
Angola,AGO,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.88387493,94.771498,94.60478173,94.27719521,94.27743701,94.45684802,94.55333556,94.67046717,94.82167053,94.97922077,95.15684692,95.21009247,95.37893122,95.47407648,95.64898271,95.8519479,95.89009859,95.9735734,96.04567984,96.0243529,96.06445484,95.97868956,95.99504321,96.01996718,96.08549443,96.15700552,96.17975873,96.28055555,96.40545901,96.48093425
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.57444082,76.84157498,77.56877717,76.45774208,75.63704207,74.55913121,73.5665338,74.30817622,73.3940028,72.32166353,71.75973799,71.28957819,71.11277596,71.13187761,71.24255852,71.43730055,71.74680986,72.10423522,72.49315336,70.10094009,72.75892908,73.16325029,73.62032401,70.71992032,69.29183078,72.22622571,72.14904396,72.17107052,72.3054825,72.34543617
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.10192631,26.21172395,26.09051489,26.3016101,26.77896887,26.88498071,26.91691716,26.75711185,26.75720094,27.33140854,27.52166751,27.76099899,27.33702891,27.78024238,28.07819468,28.36704294,28.81086597,29.66010307,29.36221572,29.84911851,30.00655999,30.15808473,30.49562524,30.88466277,31.06548394,31.20387003,31.57098267,31.09019248,31.05393578,31.09510649
United Arab Emirates,ARE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16547283,32.03492444,32.667183,33.45300174,33.72547136,33.95159665,34.59364576,35.22708716,35.83409229,36.40644637,36.93601963,37.6409379,38.30752589,38.96876207,39.62449049,40.2655988,41.82706943,43.17173751,44.4024996,45.5823191,46.74088819,48.01596489,49.3617054,50.75062382,52.12931514,53.44969598,54.71591631,56.20980888,56.08561959,56.09975358
Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.69245782,60.81993516,61.94822552,63.169049,64.12239306,64.04449809,64.92090302,66.03355839,66.63601997,66.3384942,66.31176919,65.92827386,64.67058467,65.62371403,66.60880312,65.74650791,66.42550422,65.70241846,65.00599323,65.93899813,64.83329408,65.06219275,65.54629001,65.18198218,64.71634462,65.75282141,66.81713341,67.87933427,69.79893571,69.7387575
Armenia,ARM,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.17379282,69.3309152,69.5659227,69.86413458,70.20436087,70.57497948,70.99361505,71.40742121,71.81977915,72.22781108,72.61668512,72.80183339,72.92800144,72.98263952,72.94772001,72.83004613,72.599624,72.32885619,72.02157118,71.90135683,69.6320067,73.38466529,73.73810478,74.14132324,73.93995981,73.43237389,71.27463405,71.57454161,71.49364175,71.44656847
American Samoa,ASM,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.02971339,69.54225776,69.98155244,70.2194076,71.38965607,72.54147014,73.0138259,73.30975308,73.69467755,74.15638648,75.51285902,76.53453194,76.93236657,78.16273227,77.88180906,79.02040041,79.67955403,80.17649408,80.73152703,81.33582278,81.04272665,81.62195738,81.99304106,82.24680686,82.66270667,83.07483474,83.88524195,84.44535439,84.99640991,85.10337503
Austria,AUT,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.06665041,62.55374849,64.16143742,65.14044607,68.2982736,69.40841705,69.35326151,69.988405,70.72545409,70.87396695,71.0420542,71.85386808,73.51156576,73.79138903,76.106261,76.61994125,77.27526789,77.55506391,78.44410049,79.59111022,80.02363191,80.81021893,81.5268221,81.93004303,82.54213555,82.63907146,82.95883026,82.9182601,82.52897869,82.70469969
Azerbaijan,AZE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.57720643,73.68600658,74.37966449,75.62986239,77.13916736,78.32105016,78.58929891,78.62338588,78.46644131,78.50707938,79.59339578,80.57996042,81.546006,82.49435431,83.42942743,84.35890905,85.28573691,86.23174205,87.20349555,88.19343909,89.18886488,90.26435453,90.33812891,90.22969125,90.58088798,91.02252306,90.32887272,90.35343233,90.71463859,90.92877489
Burundi,BDI,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4659682,100.5364581,100.6453235,100.7880392,100.9623283,101.16028,101.2274621,101.3051904,101.3904888,101.6276985,101.8753405,102.1522169,102.4190728,102.6736785,102.9107939,103.1263796,103.2831087,103.4195295,103.5361829,103.6377234,103.7279113,103.8113817,103.8876029,103.963282,104.0458176,103.7991606,103.606476,103.4702455,103.3932479,103.3603591
Belgium,BEL,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.16654512,62.16641007,63.77720731,65.52062282,65.83605975,66.3889099,66.7220903,67.76274171,68.74162404,70.61644652,71.00254355,69.2325562,70.5521764,71.22400482,73.24823711,74.22207657,75.04482785,75.91977485,76.81092466,77.42608428,78.11589983,78.43449488,78.51210583,79.71393285,80.8497416,81.19842662,81.01012131,81.02318996,82.53604436,82.80890752
Benin,BEN,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25529969,64.25770137,64.30733393,65.88062249,67.51277328,69.20615579,70.96657207,72.80307284,74.7166219,76.715337,78.80017029,80.96775737,83.23285693,84.81751601,86.36974802,87.88128428,89.35046111,90.78584682,92.18541934,93.55482182,94.89109463,92.30654105,92.48998367,92.73941696,93.01023611,93.26220906,93.47526237,93.74692439,94.06355672,94.2794857
Burkina Faso,BFA,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.06673876,84.01281161,83.33020238,82.64878675,81.93109529,81.20817394,80.44352087,79.63463387,78.80259365,77.93888409,77.01695232,76.0525087,75.05070775,74.03583362,72.98115919,71.91430666,70.78626944,71.23757467,71.76511088,72.37940066,73.08977072,73.89452634,74.82394785,75.89220862,77.11729014,77.31225802,77.50331772,77.72218552,77.97577628,77.92478746
Bangladesh,BGD,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.01019474,28.15030753,28.35176813,28.60846113,28.91226196,29.26101111,29.57825358,29.94638202,30.34264228,30.74477865,31.13394962,31.42016965,31.70921277,31.99390577,32.27175361,32.54928136,32.69832511,33.45986332,34.24483584,35.05438974,35.8866192,36.71886324,37.57142362,38.44823565,39.34729926,40.26744449,41.19002783,44.03890553,44.32290128,44.56406794
Bulgaria,BGR,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.14720189,88.3821104,88.61166057,87.8598395,86.97386778,85.92638742,84.85283254,83.63177944,82.27521157,80.78301838,79.16249571,82.33782906,82.4277692,80.28040715,80.6855242,79.29885484,80.62042063,80.32627901,78.9399685,78.81236194,80.12835717,81.08641827,81.47636929,81.44636081,80.94207654,80.86694773,80.1456799,80.32351455,79.47771699,79.43951899
Bahrain,BHR,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23040269,33.0878818,33.82538415,34.58034922,35.34947043,36.11278956,36.96213455,37.76044557,38.53547534,39.32053225,40.12738898,41.31973438,42.3956073,43.38721001,44.30688684,45.19532139,46.1729269,47.12191828,48.07306734,49.0507374,50.08010401,49.632416,49.74495918,49.90169966,50.09821228,50.34886753,50.53768172,50.86752229,51.38920405,51.57500772
"Bahamas, The",BHS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.66553124,81.80889399,81.99372989,82.23404158,82.5239658,82.8375116,83.04252186,83.03499802,83.54895963,84.44168196,84.78325279,85.02810877,85.23403399,84.74656105,84.5983392,84.84613132,84.98532794,84.93302582,84.29530789,83.41352755,83.52271914,83.49604859,83.89890628,83.7777123,83.67977158,83.72189984,83.36247549,83.41777916,83.55800072,83.45815504
Bosnia and Herzegovina,BIH,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.19033832,59.32510571,59.26215148,59.04788012,58.8320988,58.55974193,58.45919617,58.45647133,58.39770635,58.19982015,58.07235125,57.97177799,57.84034682,57.71764896,57.56747065,55.27015214,55.1318467,54.12677287,55.74667627,57.27531286,58.93700268,59.85856709,59.51841819,60.99130166,62.45127468,62.29572737,60.74434625,62.12833985,60.94505945,60.95952025
